Market,1Q2017,4Q2017,1Q2018,Quarterly %,Yearly %,vacancy
BLE,"1,656","1,683","1,749",3.921568627,5.615942029,6.6
BLW,"2,180","2,179","2,186",0.321248279,0.275229358,9.3
BOT,"1,601","1,625","1,634",0.553846154,2.061211743,15.3
BUR,"1,250","1,330","1,341",0.827067669,7.28,4.5
DES,"1,171","1,218","1,217",-0.082101806,3.928266439,3.9
EDM,"1,268","1,376","1,354",-1.598837209,6.782334385,5.2
ENO,"1,716","1,725","1,652",-4.231884058,-3.72960373,5.9
ESO,"1,963","1,955","1,950",-0.255754476,-0.662251656,5.4
EVC,"1,214","1,304","1,313",0.690184049,8.154859967,4.9
EVM,"1,301","1,340","1,345",0.373134328,3.382013836,5.3
EVS,"1,295","1,343","1,353",0.744601638,4.478764479,5.2
FED,"1,265","1,336","1,327",-0.673652695,4.901185771,5.2
KEN,"1,320","1,400","1,426",1.857142857,8.03030303,5.5
KIR,"1,851","1,898","1,863",-1.844046365,0.648298217,5.2
KNO,"1,390","1,449","1,455",0.414078675,4.676258993,5.1
KSE,"1,238","1,316","1,322",0.455927052,6.785137318,4.1
LYN,"1,382","1,476","1,477",0.067750678,6.874095514,6.1
MLT,"1,346","1,391","1,430",2.803738318,6.240713224,4.6
RED,"1,820","1,831","1,864",1.802293829,2.417582418,5.9
REN,"1,486","1,533","1,533",0,3.162853297,6.2
SBA,"1,835","1,866","1,884",0.964630225,2.670299728,6.1
SBT,"2,001","2,051","2,035",-0.780107265,1.699150425,5.1
SCH,"1,909","1,972","1,974",0.101419878,3.404924044,8.2
SCS,"1,623","1,676","1,682",0.357995227,3.635243376,11
SDN,"2,406","2,328","2,338",0.429553265,-2.826267664,25.7
SFH,"1,645","1,806","1,911",5.813953488,16.17021277,9.4
SFW,"1,923","1,908","1,871",-1.939203354,-2.704108164,8.8
SIS,"1,963","1,939","1,984",2.320783909,1.069791136,6.1
SLU,"2,128","2,124","2,128",0.188323917,0,13.9
SNE,"1,263","1,323","1,304",-1.436130008,3.246239113,8.7
SNO,"1,401","1,440","1,429",-0.763888889,1.998572448,6.4
SQM,"1,787","1,850","1,875",1.351351351,4.924454393,8.7
SSO,"1,584","1,595","1,667",4.514106583,5.23989899,4.5
SSW,"1,522","1,610","1,630",1.242236025,7.095926413,6.7
STC,"1,162","1,212","1,233",1.732673267,6.110154905,5.5
SUD,"1,711","1,750","1,774",1.371428571,3.682057276,7.3
TUK,"1,200","1,286","1,277",-0.699844479,6.416666667,4.1
