NAME,city,Area,Q2016,1Q2017,2Q2017,3Q2017,Q2017,QoQ,YoY
236.01,Bellevue East,BLE,1660,1656,1769,1752,1683,-3.938356164,1.386
240,Bellevue West,BLW,2158,2180,2251,2249,2179,-3.112494442,0.973
217,Bothell,BOT,1615,1601,1639,1675,1625,-2.985074627,0.619
274,Burien,BUR,1270,1250,1291,1311,1330,1.449275362,4.724
290.04,Des Moines,DES,1173,1171,1193,1218,1218,0,3.836
502,Edmonds,EDM,1340,1268,1378,1410,1376,-2.411347518,2.687
323.07,Eastside North,ENO,1717,1716,1780,1767,1725,-2.376910017,0.466
245,Mercer Island,ESO,1959,1963,1994,1971,1955,-0.811770675,-0.204
407,Everett Central,EVC,1222,1214,1241,1259,1304,3.57426529,6.710
420.06,Everett Mukilteo,EVM,1266,1301,1330,1390,1340,-3.597122302,5.845
418.06,Everett South,EVS,1310,1295,1337,1376,1343,-2.398255814,2.519
301,Federal Way,FED,1263,1265,1322,1347,1336,-0.816629547,5.780
317.05,Kent,KEN,1299,1320,1384,1400,1400,0,7.775
227.02,Kirkland,KIR,1849,1851,1980,1948,1898,-2.566735113,2.650
205,King County North,KNO,1378,1390,1439,1443,1449,0.415800416,5.152
304.01,King County South,KSE,1213,1238,1280,1325,1316,-0.679245283,8.491
420.04,Lynnwood,LYN,1375,1382,1448,1524,1476,-3.149606299,7.345
513,Mountlake Terrace,MLT,1343,1346,1404,1413,1391,-1.556970984,3.574
229.02,Redmond,RED,1818,1820,1954,1951,1831,-6.150691953,0.715
253.01,Renton,REN,1473,1486,1536,1574,1533,-2.604828463,4.073
30,Ballard,SBA,1851,1835,1938,1992,1866,-6.325301205,0.810
80.02,Belltown,SBT,1934,2001,2122,2193,2051,-6.475148199,6.050
64,Capitol Hill,SCH,1855,1909,1946,2001,1972,-1.449275362,6.307
94,Central/South Seattle,SCS,1533,1623,1691,1709,1676,-1.930953774,9.328
81,Downtown Seattle,SDN,2265,2406,2393,2493,2328,-6.618531889,2.781
83,First Hill,SFH,1669,1645,1775,1952,1806,-7.479508197,8.209
46,Fremont/Wallingford,SFW,1896,1923,1948,1981,1908,-3.685007572,0.633
322.03,Issaquah/Sammamish,SIS,1949,1963,2050,2095,1939,-7.446300716,-0.513
72,South Lake Union,SLU,2055,2128,2225,2263,2124,-6.142288997,3.358
521.07,North/East Snohomish,SNE,1221,1263,1250,1312,1323,0.838414634,8.354
2,North Seattle,SNO,1395,1401,1446,1442,1440,-0.138696255,3.226
60,Queen Anne/Magnolia,SQM,1764,1787,1884,1906,1850,-2.938090241,4.875
417.03,South Snohomish,SSO,1564,1584,1642,1653,1595,-3.50877193,1.982
113,Southwest Seattle,SSW,1503,1522,1565,1583,1610,1.705622236,7.119
287,SeaTac,STC,1157,1162,1199,1209,1212,0.248138958,4.754
25,University District,SUD,1732,1711,1741,1771,1750,-1.185770751,1.039
271,Tukwila,TUK,1201,1200,1244,1281,1286,0.390320062,7.077
,,Average,1576,1594,1667,1696,1647,-2.889150943,4.505
