NAME,city,Area,2016rent,2017rent,increase
,,average,1549,1666,7.55
236.01,Bellevue East,BLE,1683,1769,5.11
240,Bellevue West,BLW,2183,2251,3.11
217,Bothell,BOT,1566,1639,4.66
274,Burien,BUR,1178,1291,9.59
290.04,Des Moines,DES,1127,1193,5.86
502,Edmonds,EDM,1248,1378,10.42
323.07,Eastside North,ENO,1678,1780,6.08
245,Mercer Island,ESO,1986,1994,0.4
407,Everett Central,EVC,1153,1241,7.63
420.06,Everett Mukilteo,EVM,1261,1330,5.47
418.06,Everett South,EVS,1266,1337,5.61
301,Federal Way,FED,1216,1322,8.72
317.05,Kent,KEN,1267,1384,9.23
227.02,Kirkland,KIR,1810,1980,9.39
205,King County North,KNO,1336,1439,7.71
304.01,King County South,KSE,1169,1280,9.5
420.04,Lynnwood,LYN,1336,1448,8.38
513,Mountlake Terrace,MLT,1329,1404,5.64
229.02,Redmond,RED,1881,1954,3.88
253.01,Renton,REN,1460,1536,5.21
30,Ballard,SBA,1760,1938,10.11
80.02,Belltown,SBT,1897,2122,11.86
64,Capitol Hill,SCH,1770,1945,9.89
94,Central/South Seattle,SCS,1523,1691,11.03
81,Downtown Seattle,SDN,2344,2393,2.09
83,First Hill,SFH,1576,1775,12.63
46,Fremont/Wallingford,SFW,1878,1934,2.98
322.03,Issaquah/Sammamish,SIS,1947,2050,5.29
72,South Lake Union,SLU,2037,2225,9.23
521.07,North/East Snohomish,SNE,1105,1250,13.1
2,North Seattle,SNO,1332,1435,7.73
60,Queen Anne/Magnolia,SQM,1795,1870,4.18
417.03,South Snohomish,SSO,1562,1642,5.12
113,Southwest Seattle,SSW,1453,1565,7.71
287,SeaTac,STC,1098,1199,9.2
25,University District,SUD,1609,1741,8.2
271,Tukwila,TUK,1151,1244,8.08
