Market,Q1Y2018,Q4Y2018,Q1Y2019,QoQ,YoY 
BLE,1749,1778,1802,1.349831271,3.03030303
BLW,2186,2244,2280,1.604278075,4.300091491
BOT,1634,1672,1688,0.956937799,3.304773562
BUR,1341,1467,1461,-0.408997955,8.948545861
DES,1217,1285,1292,0.544747082,6.162695152
EDM,1354,1384,1407,1.661849711,3.914327917
ENO,1652,1774,1810,2.029312289,9.564164649
ESO,1950,2071,2083,0.579430227,6.820512821
EVC,1313,1357,1368,0.810611643,4.188880427
EVM,1345,1413,1406,-0.495399858,4.535315985
EVS,1353,1431,1425,-0.419287212,5.321507761
FED,1327,1388,1384,-0.288184438,4.295403165
KEN,1426,1461,1480,1.300479124,3.786816269
KIR,1863,1935,1948,0.671834625,4.562533548
KNO,1455,1467,1510,2.931152011,3.780068729
KSE,1322,1379,1386,0.507614213,4.841149773
LYN,1477,1549,1536,-0.83925113,3.994583615
MLT,1430,1455,1443,-0.824742268,0.909090909
RED,1864,1914,1929,0.78369906,3.487124464
REN,1533,1594,1609,0.941028858,4.957599478
SBA,1884,1964,1944,-1.018329939,3.184713376
SBT,2035,2084,2089,0.239923225,2.653562654
SCH,1974,1993,2011,0.903161064,1.874366768
SCS,1682,1761,1757,-0.227143668,4.458977408
SDN,2338,2474,2492,0.727566694,6.586826347
SFH,1911,1956,1981,1.278118609,3.663003663
SFW,1871,1970,1982,0.609137056,5.932656334
SIS,1984,2003,2061,2.895656515,3.881048387
SLU,2128,2137,2150,0.608329434,1.033834586
SNE,1304,1501,1533,2.131912059,17.56134969
SNO,1429,1523,1525,0.131319764,6.717984605
SQM,1875,1920,1914,-0.3125,2.08
SSO,1667,1686,1701,0.889679715,2.039592082
SSW,1630,1673,1691,1.075911536,3.742331288
STC,1233,1275,1277,0.156862745,3.568532036
SUD,1774,1747,1764,0.973096737,-0.563697858
TUK,1277,1346,1373,2.005943536,7.517619421
,,,,,
,,,,,
,,,,,
,,,,,
