Market,Q3Y2017,2Q2018,Q3Y2018,QoQ,YoY
BLE,1752,1832,1819,-0.709606987,3.824200913
BLW,2249,2259,2266,0.309871625,0.755891507
BOT,1675,1696,1719,1.356132075,2.626865672
BUR,1311,1353,1410,4.21286031,7.551487414
DES,1218,1272,1287,1.179245283,5.665024631
EDM,1410,1404,1441,2.635327635,2.19858156
ENO,1767,1747,1798,2.919290212,1.754385965
ESO,1971,2054,2112,2.82375852,7.153729072
EVC,1259,1343,1358,1.116902457,7.863383638
EVM,1390,1413,1423,0.707714084,2.374100719
EVS,1376,1410,1452,2.978723404,5.523255814
FED,1347,1376,1384,0.581395349,2.74684484
KEN,1400,1454,1473,1.306740028,5.214285714
KIR,1948,1947,1994,2.413970211,2.361396304
KNO,1443,1492,1470,-1.474530831,1.871101871
KSE,1325,1375,1395,1.454545455,5.283018868
LYN,1524,1529,1545,1.046435579,1.377952756
MLT,1413,1463,1441,-1.503759398,1.981599434
RED,1951,1964,1974,0.509164969,1.178882624
REN,1574,1587,1601,0.882167612,1.715374841
SBA,1992,1958,1999,2.093973442,0.351405622
SBT,2193,2096,2158,2.958015267,-1.595987232
SCH,2001,2015,2021,0.297766749,0.99950025
SCS,1709,1723,1729,0.348229832,1.170275015
SDN,2493,2466,2465,-0.0405515,-1.123144805
SFH,1952,1984,2013,1.461693548,3.125
SFW,1981,1986,2034,2.416918429,2.675416456
SIS,2095,2060,2088,1.359223301,-0.334128878
SLU,2263,2186,2202,0.731930467,-2.695536898
SNE,1312,1309,1456,11.22994652,10.97560976
SNO,1442,1484,1506,1.482479784,4.438280166
SQM,1906,1887,1947,3.179650238,2.151101784
SSO,1653,1726,1710,-0.926998841,3.448275862
SSW,1583,1649,1668,1.152213463,5.369551485
STC,1209,1245,1254,0.722891566,3.722084367
SUD,1771,1736,1762,1.497695853,-0.508187465
TUK,1281,1313,1345,2.437166794,4.996096799
